Schuylkill River Park
Schuylkill Banks
Schuylkill River Park
Peter's Island
Frankford Arsenal Boat Launch
Orthodox Street Parcel
Wissahickon Valley Park
West Fairmount Park
Pennypack Creek Park
Cobbs Creek Park
East Fairmount Park
Tacony Creek Park
Franklin D. Roosevelt Park
Hunting Park
Awbury Park
Fisher Park
Eastwick Regional Park
Whitby Ave Playground
Holme Street Field
29th & Passyunk Playground
Price Street Play Lot
Sedgley Woods Disc Golf
61st & Baltimore Ave Playground
Cobbs Creek Park
Al Pearlman Sports Center
Lauretha Vaird Boys/Girls Club
Torresdale & Enfield Fields
Chamounix Tennis
Smith Memorial Playground
Laura Sims Rink
Garland & Bingham Fields
Franklin D. Roosevelt Park
Hammond & Nedro Fields
Cobbs Creek Park
Fox Chase School Playground
Wissahickon Environmental Education Center
Ford Road North Playground
82nd & Lyons Park
Verree & Susquehanna Playground
11th & Venango Play Lot
Collazo Playground
Frankford & Solly Playground
Belmont School Playground
26th & Pennsylvania Playground
60th & Baltimore Park
Dauphin Street Play Lot
10th & Lemon Playground
47th & Grays Ferry Park
Hartranft Pool
Butler & Percy Play Lot
Horton Street Play Lot
45th & Sansom Tot Lot
Community Park
71st & Dicks Triangle
Webb Street Play Lot
Awbury Park & Recreation Center
Hunting Park
Martin Luther King Recreation Center
Pennypack on the Delaware Fields
Belmont Plateau
Memorial Area
Edgely Fields
Dairy Fields
Pachella Fields
Belmont & Edgely Cricket Fields
Daisy Fields
Robin Hood Dell East
Sweet Briar Area
Ohio House
Chamounix
Chamounix
Wissahickon Valley Park
Arrow Field
Pennypack Environmental Education Center
Cobbs Creek & Karakung Golf Course
Pennypack on the Delaware
Franklin D. Rooselvelt Golf Course
Fox Chase Farm
Morris Park
Juniata Golf Course
Walnut Lane Golf Course
Walton Run
John Byrne Golf Course
Fluehr Park
Philadelphia Zoological Gardens
Manatawna Farm
Burholme Park
Wister's Woods Park
Horticulture Center
Wooden Bridge Run
Bartram's Garden
Wissinoming Playground
Fernhill Park
Roxborough Reservoir
Manayunk Canal
Carroll Park Cobbs Creek
Fish Hatchery
Holme Crispin Park
Philadelphia Museum of Art
Disston Park
Poquessing Creek Park
Junod Playground
Palmer Playground
29th & Chalmers Park
Mander Playground
Gorgas Park
Marconi Plaza
Fort Mifflin
James Finnegan Playground
Lawncrest Recreation Center
Pastorius Park
Vogt Recreation Center
American Legion
Jacobs Playground
Fox Chase Playground
Torresdale Playground
Burholme Driving Range
Benjamin Franklin Parkway
Simons Youth Center & Teen Center
Olney Recreation Center
Wakefield Park
Russo Park Playground
Max Myers Playground
Chalfont Playground
Gustine Recreation Center
Vine Street Park
Clarence H Clark Park
Lackman Playground
Gambrell Playground
Eastwick Park
Carmella Playground
Pelbano Playground
Ferko Playground
Germany Hill
Jardel Recreation Center
Cobbs Creek Driving Range & Sports Center
Boyle Recreation Center
Stenton Park Playground
Holme Playground
Papa Playground
Water Tower Recreation Center
Ramp Playground
Pepper School Playground
Picariello Playground
Lee Cultural Center
Reyburn Park
Trumbette Playground
Tarken Recreation Center
33rd & Oxford Driving Range
Houseman Playground
Houston Playground
Vernon Park
Shepard Recreation Center
Penn Treaty Park
Wingohocking Park
Kendrick Recreation Center
Kemble Park
Bridesburg Recreation Center
Bradford Park
Cobbs Creek Recreation Center & Pool
Myers Recreation Center
Somerton Woods
Smith Playground
Rittenhouse Square
Rose Playground
Loudoun Park
Elmwood Park
McDevitt Recreation Center
Washington Square
Ziehler Playground
Franklin Square
Mitchell Playground
Finley Recreation Center
Von Colln Field
Norris Square
Gifford Playground
McPherson Square
Morris Estate Recreation Center
McVeigh Recreation Center
Malcolm X Memorial Park
Scanlon Recreation Center
Water Works
McArdle Recreation Center
Piccoli Playground
Mayfair Playground
Cliveden Park
Sturgis Playground
Old Line Park
Barrett Playground
McCreesh Playground
Parkside-Evans Recreation Center
Carroll Park
Clearview Park
Rivera Recreation Center
Roosevelt Playground
Cherashore Playground
Barnes Foundation Museum
Granahan Playground
Connell Park
West Mill Creek
Lonnie Young Recreation Center
Carousel House
