time,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:fileDeletionBacklog,Cleaning:maxUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nRevisalRuns,Cleaning:nToBeCleanedLNsProcessed,Cleaning:nTwoPassRuns,Cleaning:pendingLNQueueSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,Environment:nBinDeltaDelete,Environment:nBinDeltaGet,Environment:nBinDeltaInsert,Environment:nBinDeltaUpdate,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncMaxTime,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:PS MarkSweep.count,Jvm:PS MarkSweep.time,Jvm:PS Scavenge.count,Jvm:PS Scavenge.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate
2017-05-01 19:28:04.387 UTC, ,125,3158477,824,12624, , ,3, ,3, , , , , , , , , ,3,3, , , , ,1,5, , , , , , , , , , , , , , , , ,1077,1,469,469,1, ,2,4, ,49,49, , , , , ,1,10, , , , , , , , , , , , , , , , , , , , , , , , ,1493666884069, , , , ,3145728, , , , ,5,3,15,3,3,3, , ,3,4, , , , , , , ,38,1, , ,12288,3,1087,3, , , , , , , , ,22469488,1, , , , , , ,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-05-01 19:29:04.393 UTC, ,125,3184533,1288,38456,224, ,5, ,675, , , , , , , , , ,5,5, , , ,1,1,8, ,604, , , , , , , , , , , , , , ,97025,75,1377,95823,74,123,64,251, ,49,49, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1493666884069, , , , ,3145728, , , , ,14,74,356,74,2,74, , ,3,74, , , , , , , , , , , ,4096,2,95947,74, , , , , , ,2,48,16761736,1, , , , , , ,916, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,68, , ,8,68,8, , , , , , 
2017-05-01 19:30:04.398 UTC, ,125,3197325,1288,51248,224, ,7, ,722, , , , , , , , , ,7,5, , , ,2,2,8, ,640, , , , , , , , , , , , , , ,219111,155,1342,218313,80,148,52,252, ,49,49, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1493666884069, , , , ,3145728, , , , ,41,80,440,80, ,80, , ,3,80, , , , , , , , , , , , , ,122087,80, , , , , , , , ,34669640, , , , , , , ,960, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,80, , , ,80, , , , , , , 
2017-05-01 19:31:04.404 UTC, ,125,3205757,1288,59680,224, ,7, ,729, , , , , , , , , ,7,5, , , ,2,2,8, ,648, , , , , , , , , , , , , , ,340910,236,1562,339292,81,155,48,251, ,49,49, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1493666884069, , , , ,3145728, , , , ,6,81,402,81, ,81, , ,3,81, , , , , , , , , , , , , ,121799,81, , , , , , ,1,21,22222144,1, , , , , , ,972, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,81, , , ,81, , , , , , , 
2017-05-01 19:31:05.195 UTC, ,125,3205533,1288,59680, , ,7, ,4, , , , , , , , , ,7,5, , , ,2,2,8, ,4, , , , , , , , , , , , , , ,341780,237,1666,340958,1,1, ,1, ,13,13, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1493666884069, , , , ,3145728, , , , ,5,1,5,1, ,1, , ,3,1, , , , , , , , , , , , , ,870,1, , , , , , , , ,22222144,1, , , , , , ,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-05-01 19:31:54.566 UTC, ,125,3163293,1288,17440, , ,4,2,22,4,0.18, , , , , , , ,4,3, ,2,2,4,2,5, ,491,245, , , , , , , , , , , , , ,342820,238, ,341886, , , , , ,13,13, , , , , ,42,2404, , , , , , , , , , , , , , , , , , , , , , , , ,1493667113985, , , , ,3145728, , , ,256,0, , , ,2, , , ,3, , , , ,256, ,2048,1, , , , ,799270,349, , , , , , ,1,116,7,195,76858768,1, , , , , , ,13, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-05-01 19:32:54.575 UTC, ,125,3209493,1520,63256,384, ,8,2,32,3,0.09, , , , , , , ,8,6, , ,2,4,2,8, ,253,231, , , , , , , , , , , , , ,353134,239,9716,351602,1,2,3,8, ,13,13, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1493667113985, , , , ,3145728, , , ,238,6,1,6,1,3,1, , ,3,1, , , ,238,1, , , , , ,2,46896,243,10313,1, , , , , , , , ,111653864, , , , , , , ,267, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,228,6,4,1, , , , , , 
2017-05-01 19:34:29.339 UTC, ,125,3165045,1520,19192, , ,4,2,22,4,0.18, , , , , , , ,4,3, ,2,2,4,2,4, ,495,248, , , , , , , , , , , , , ,354050,240, ,353182, , , , , ,13,13, , , , , ,44,2431, , , , , , , , , , , , , , , , , , , , , , , , ,1493667268884, , , , ,3145728, , , ,259,0, , , ,2, , , ,3, , , , ,259, ,2048,1, , , , ,832262,356, , , , , , ,1,57,9,244,51286312, , , , , , , ,13, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-05-01 19:35:29.345 UTC, ,125,3208709,1520,62520,336, ,8,2,12,4,0.33, , , , , , , ,8,6, , ,2,6,2,8, ,236,233, , , , , , , , , , , , , ,354050,240, ,353182, , , , , ,13,13, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1493667268884, , , , ,3145728, , , ,242,0, , , ,1, , , ,3, , , , ,242,1, , , , , ,2,47422,245, , , , , , , , , , ,68563920, , , , , , , ,239, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,228,2, , , , , , , , 
2017-05-01 19:36:29.349 UTC, ,125,3208709,1520,62520,336, ,8, ,12, , , , , , , , , ,8,6, , , ,6,2,8, ,684, , , , , , , , , , , , , , ,354050,240, ,353182, , , , , ,13,13, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1493667268884, , , , ,3145728, , , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,78259032, , , , , , , ,684, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,684, , , , , , , , , 
